DATA_BASE,TIPO_DESENROLA,UNIDADE_FEDERACAO,NOME_CONGLOMERADO_FINANCEIRO,NUMERO_OPERACOES,VOLUME_OPERACOES
2023-09-01,2,AC,BB,140,1418395.99
2023-09-01,2,AC,BRADESCO,15,83829.79
2023-09-01,2,AC,BTG PACTUAL,7,37788.79
2023-09-01,2,AC,CAIXA ECONÔMICA FEDERAL,81,246145.92
2023-09-01,2,AC,INTER,4,12306.86
2023-09-01,2,AC,ITAU,144,316331.72
2023-09-01,2,AC,SANTANDER,232,1024530.13
2023-09-01,2,AC,VOTORANTIM,16,63205.99
2023-09-01,2,AL,BB,363,1913928.14
2023-09-01,2,AL,BCO DO EST. DE SE S.A.,1,3362.67
2023-09-01,2,AL,BRADESCO,108,511735.61
2023-09-01,2,AL,BTG PACTUAL,21,132834.28
2023-09-01,2,AL,CAIXA ECONÔMICA FEDERAL,312,693197.85
2023-09-01,2,AL,INTER,35,134651.2
2023-09-01,2,AL,ITAU,1357,2958332.86
2023-09-01,2,AL,SANTANDER,1256,4855449.83
2023-09-01,2,AL,VOTORANTIM,48,148710.1
2023-09-01,2,AM,BB,307,2449508.28
2023-09-01,2,AM,BRADESCO,369,2492521.54
2023-09-01,2,AM,BTG PACTUAL,21,153686.0
2023-09-01,2,AM,CAIXA ECONÔMICA FEDERAL,218,438181.32
2023-09-01,2,AM,INTER,22,74837.6
2023-09-01,2,AM,ITAU,1307,3177249.7
2023-09-01,2,AM,SANTANDER,2019,8371789.23
2023-09-01,2,AM,VOTORANTIM,63,613296.71
2023-09-01,2,AP,BB,223,2058233.1
2023-09-01,2,AP,BRADESCO,18,187564.28
2023-09-01,2,AP,BTG PACTUAL,7,36848.42
2023-09-01,2,AP,CAIXA ECONÔMICA FEDERAL,66,150355.33
2023-09-01,2,AP,INTER,14,48998.53
2023-09-01,2,AP,ITAU,204,470889.49
2023-09-01,2,AP,SANTANDER,407,1472417.07
2023-09-01,2,AP,VOTORANTIM,11,59548.56
2023-09-01,2,BA,BB,1535,11128627.49
2023-09-01,2,BA,BRADESCO,680,3678942.34
2023-09-01,2,BA,BTG PACTUAL,76,355683.91
2023-09-01,2,BA,CAIXA ECONÔMICA FEDERAL,1195,2069185.0
2023-09-01,2,BA,INTER,129,557565.26
2023-09-01,2,BA,ITAU,6907,15390910.55
2023-09-01,2,BA,SANTANDER,8120,29227847.64
2023-09-01,2,BA,VOTORANTIM,192,1307913.99
2023-09-01,2,CE,BB,973,6978990.71
2023-09-01,2,CE,BRADESCO,433,2999572.06
2023-09-01,2,CE,BTG PACTUAL,42,177031.25
2023-09-01,2,CE,CAIXA ECONÔMICA FEDERAL,710,1299168.26
2023-09-01,2,CE,INTER,77,376253.75
2023-09-01,2,CE,ITAU,4056,8991571.51
2023-09-01,2,CE,SANTANDER,4300,17235541.52
2023-09-01,2,CE,VOTORANTIM,160,798643.76
2023-09-01,2,DF,BB,399,4219099.63
2023-09-01,2,DF,BRADESCO,169,911548.15
2023-09-01,2,DF,BTG PACTUAL,35,217515.46
2023-09-01,2,DF,CAIXA ECONÔMICA FEDERAL,447,1052877.31
2023-09-01,2,DF,INTER,59,365436.86
2023-09-01,2,DF,ITAU,2256,6198897.81
2023-09-01,2,DF,SANTANDER,2498,14424055.15
2023-09-01,2,DF,VOTORANTIM,76,438952.88
2023-09-01,2,ES,BB,292,1968526.87
2023-09-01,2,ES,BRADESCO,152,1048216.27
2023-09-01,2,ES,BTG PACTUAL,15,42593.5
2023-09-01,2,ES,CAIXA ECONÔMICA FEDERAL,361,705873.54
2023-09-01,2,ES,INTER,53,234107.98
2023-09-01,2,ES,ITAU,1514,3544027.97
2023-09-01,2,ES,SANTANDER,2091,8678068.91
2023-09-01,2,ES,VOTORANTIM,93,530402.84
2023-09-01,2,GO,BB,664,4597277.86
2023-09-01,2,GO,BRADESCO,323,2082691.7
2023-09-01,2,GO,BTG PACTUAL,42,238775.52
2023-09-01,2,GO,CAIXA ECONÔMICA FEDERAL,1072,2124375.8
2023-09-01,2,GO,INTER,73,334468.97
2023-09-01,2,GO,ITAU,4001,9626923.83
2023-09-01,2,GO,SANTANDER,3757,15870653.0
2023-09-01,2,GO,VOTORANTIM,171,1150371.15
2023-09-01,2,MA,BB,1084,7583238.46
2023-09-01,2,MA,BRADESCO,247,1231867.91
2023-09-01,2,MA,BTG PACTUAL,25,215612.95
2023-09-01,2,MA,CAIXA ECONÔMICA FEDERAL,320,541462.39
2023-09-01,2,MA,INTER,28,122086.39
2023-09-01,2,MA,ITAU,1403,3073625.3
2023-09-01,2,MA,SANTANDER,1938,7340860.98
2023-09-01,2,MA,VOTORANTIM,81,694436.73
2023-09-01,2,MG,BB,1785,15719098.04
2023-09-01,2,MG,BRADESCO,793,4457830.11
2023-09-01,2,MG,BTG PACTUAL,109,681181.77
2023-09-01,2,MG,CAIXA ECONÔMICA FEDERAL,1917,3218261.79
2023-09-01,2,MG,INTER,328,1370597.18
2023-09-01,2,MG,VOTORANTIM,554,2972363.93
2023-09-01,2,MS,BB,478,3651703.07
2023-09-01,2,MS,BRADESCO,255,1920002.83
2023-09-01,2,MS,BTG PACTUAL,15,104457.44
2023-09-01,2,MS,CAIXA ECONÔMICA FEDERAL,303,532865.2
2023-09-01,2,MS,INTER,21,145094.22
2023-09-01,2,MS,ITAU,1004,2467747.15
2023-09-01,2,MS,SANTANDER,1805,8448529.49
2023-09-01,2,MS,VOTORANTIM,150,1061853.4
2023-09-01,2,MT,BB,539,4235340.95
2023-09-01,2,MT,BRADESCO,201,1444357.42
2023-09-01,2,MT,BTG PACTUAL,16,150234.67
2023-09-01,2,MT,CAIXA ECONÔMICA FEDERAL,320,596696.67
2023-09-01,2,MT,INTER,38,215852.55
2023-09-01,2,MT,ITAU,1063,2628066.38
2023-09-01,2,MT,SANTANDER,1526,8065149.0
2023-09-01,2,MT,VOTORANTIM,117,854615.33
2023-09-01,2,PA,BB,856,5938963.52
2023-09-01,2,PA,BRADESCO,349,2230711.9
2023-09-01,2,PA,BTG PACTUAL,37,328941.6
2023-09-01,2,PA,CAIXA ECONÔMICA FEDERAL,528,866904.74
2023-09-01,2,PA,INTER,53,166117.43
2023-09-01,2,PA,ITAU,2215,4898194.86
2023-09-01,2,PA,SANTANDER,2862,10629347.83
2023-09-01,2,PA,VOTORANTIM,103,935395.94
2023-09-01,2,PB,BB,505,3238684.09
2023-09-01,2,PB,BRADESCO,192,954527.27
2023-09-01,2,PB,BTG PACTUAL,29,66923.05
2023-09-01,2,PB,CAIXA ECONÔMICA FEDERAL,309,577176.39
2023-09-01,2,PB,INTER,32,103839.54
2023-09-01,2,PB,ITAU,2121,5280749.44
2023-09-01,2,PB,SANTANDER,1973,7766905.97
2023-09-01,2,PB,VOTORANTIM,96,537513.08
2023-09-01,2,PE,BB,774,4779539.68
2023-09-01,2,PE,BRADESCO,482,3319105.38
2023-09-01,2,PE,BTG PACTUAL,65,260209.44
2023-09-01,2,PE,CAIXA ECONÔMICA FEDERAL,620,953956.07
2023-09-01,2,PE,INTER,77,342226.45
2023-09-01,2,PE,ITAU,5336,12142440.09
2023-09-01,2,PE,SANTANDER,5601,23340178.07
2023-09-01,2,PE,VOTORANTIM,134,752789.86
2023-09-01,2,PI,BB,633,4203352.98
2023-09-01,2,PI,BRADESCO,97,450542.18
2023-09-01,2,PI,BTG PACTUAL,24,56535.62
2023-09-01,2,PI,CAIXA ECONÔMICA FEDERAL,364,687492.63
2023-09-01,2,PI,INTER,27,99953.35
2023-09-01,2,PI,ITAU,1033,2059791.57
2023-09-01,2,PI,SANTANDER,1070,4217813.79
2023-09-01,2,PI,VOTORANTIM,56,331480.73
2023-09-01,2,PR,BB,751,5272066.79
2023-09-01,2,PR,BRADESCO,606,3707587.46
2023-09-01,2,PR,BTG PACTUAL,80,688144.01
2023-09-01,2,PR,CAIXA ECONÔMICA FEDERAL,1808,3986495.91
2023-09-01,2,PR,INTER,106,490970.26
2023-09-01,2,PR,ITAU,6900,18373799.54
2023-09-01,2,PR,SANTANDER,6824,30223982.37
2023-09-01,2,PR,VOTORANTIM,471,3112429.44
2023-09-01,2,RJ,BB,1017,8237143.55
2023-09-01,2,RJ,BCO DO EST. DE SE S.A.,1,6162.61
2023-09-01,2,RJ,BRADESCO,1402,9539150.12
2023-09-01,2,RJ,BTG PACTUAL,147,903068.26
2023-09-01,2,RJ,CAIXA ECONÔMICA FEDERAL,1448,2604351.13
2023-09-01,2,RJ,INTER,156,819773.96
2023-09-01,2,RJ,VOTORANTIM,520,3482053.14
2023-09-01,2,RN,BB,603,4659351.82
2023-09-01,2,RN,BRADESCO,113,627074.49
2023-09-01,2,RN,BTG PACTUAL,14,60528.93
2023-09-01,2,RN,CAIXA ECONÔMICA FEDERAL,286,628503.55
2023-09-01,2,RN,INTER,45,172322.86
2023-09-01,2,RN,ITAU,1742,3845637.28
2023-09-01,2,RN,SANTANDER,1755,7320896.02
2023-09-01,2,RN,VOTORANTIM,91,442117.64
2023-09-01,2,RO,BB,251,2971267.06
2023-09-01,2,RO,BRADESCO,55,306068.65
2023-09-01,2,RO,BTG PACTUAL,8,22097.62
2023-09-01,2,RO,CAIXA ECONÔMICA FEDERAL,189,360081.86
2023-09-01,2,RO,INTER,17,89880.38
2023-09-01,2,RO,ITAU,343,885648.63
2023-09-01,2,RO,SANTANDER,544,2833389.5
2023-09-01,2,RO,VOTORANTIM,44,397045.38
2023-09-01,2,RR,BB,139,1230805.17
2023-09-01,2,RR,BRADESCO,15,128990.25
2023-09-01,2,RR,BTG PACTUAL,4,13661.74
2023-09-01,2,RR,CAIXA ECONÔMICA FEDERAL,56,147379.2
2023-09-01,2,RR,INTER,5,44723.51
2023-09-01,2,RR,ITAU,216,433073.86
2023-09-01,2,RR,SANTANDER,306,813443.59
2023-09-01,2,RR,VOTORANTIM,13,115647.06
2023-09-01,2,RS,BB,690,4555144.25
2023-09-01,2,RS,BRADESCO,286,1702925.03
2023-09-01,2,RS,BTG PACTUAL,77,491758.08
2023-09-01,2,RS,CAIXA ECONÔMICA FEDERAL,1742,3838467.05
2023-09-01,2,RS,INTER,70,336269.06
2023-09-01,2,RS,ITAU,4496,10106841.1
2023-09-01,2,RS,SANTANDER,6257,25087196.18
2023-09-01,2,RS,VOTORANTIM,314,1923797.55
2023-09-01,2,SC,BB,700,5224154.6
2023-09-01,2,SC,BRADESCO,294,2265196.53
2023-09-01,2,SC,BTG PACTUAL,53,532260.69
2023-09-01,2,SC,CAIXA ECONÔMICA FEDERAL,1119,2612825.58
2023-09-01,2,SC,INTER,57,217159.84
2023-09-01,2,SC,ITAU,3238,8092387.62
2023-09-01,2,SC,SANTANDER,3540,15670806.31
2023-09-01,2,SC,VOTORANTIM,354,2616491.07
2023-09-01,2,SE,BB,233,1396925.16
2023-09-01,2,SE,BCO DO EST. DE SE S.A.,104,578089.76
2023-09-01,2,SE,BRADESCO,58,219746.57
2023-09-01,2,SE,BTG PACTUAL,9,34133.79
2023-09-01,2,SE,CAIXA ECONÔMICA FEDERAL,215,312094.64
2023-09-01,2,SE,INTER,11,80264.52
2023-09-01,2,SE,ITAU,884,1917474.94
2023-09-01,2,SE,SANTANDER,890,3365612.92
2023-09-01,2,SE,VOTORANTIM,41,137712.82
2023-09-01,2,SP,BB,3439,25220893.88
2023-09-01,2,SP,BCO DO EST. DE SE S.A.,2,10144.96
2023-09-01,2,SP,BRADESCO,4184,25474642.89
2023-09-01,2,SP,BTG PACTUAL,481,3240632.08
2023-09-01,2,SP,CAIXA ECONÔMICA FEDERAL,4440,8266564.32
2023-09-01,2,SP,INTER,587,2950358.72
2023-09-01,2,SP,VOTORANTIM,2133,12332160.03
2023-09-01,2,TO,BB,264,2177883.53
2023-09-01,2,TO,BRADESCO,80,665578.73
2023-09-01,2,TO,BTG PACTUAL,6,36191.19
2023-09-01,2,TO,CAIXA ECONÔMICA FEDERAL,139,280314.04
2023-09-01,2,TO,INTER,14,74673.71
2023-09-01,2,TO,ITAU,273,501316.82
2023-09-01,2,TO,SANTANDER,397,1486758.35
2023-09-01,2,TO,VOTORANTIM,32,177195.75
2023-10-01,1,AC,BANCO SICOOB,1,434.02
2023-10-01,1,AC,BB,58,34550.72
2023-10-01,1,AC,BMG,37,28745.9
2023-10-01,1,AC,BRADESCO,24,12782.17
2023-10-01,1,AC,BTG PACTUAL,66,52694.82
2023-10-01,1,AC,C6 BANK,7,3372.69
2023-10-01,1,AC,CAIXA ECONÔMICA FEDERAL,56,40733.02
2023-10-01,1,AC,INTER,168,123332.14
2023-10-01,1,AC,ITAU,23,18147.59
2023-10-01,1,AC,NUBANK,373,233735.36
2023-10-01,1,AC,SANTANDER,40,25853.03
2023-10-01,1,AC,SICOOB CREDISUL,2,3118.9
2023-10-01,1,AC,VOTORANTIM,3,2978.62
2023-10-01,1,AL,BANCO SICOOB,2,2103.8
2023-10-01,1,AL,BB,118,66544.29
2023-10-01,1,AL,BMG,169,140621.72
2023-10-01,1,AL,BRADESCO,122,88031.11
2023-10-01,1,AL,BTG PACTUAL,304,224381.49
