NOME_CONGLOMERADO_FINANCEIRO,VOLUME_OPERACOES,TIER
BRADESCO,1859621530.47,Ouro
SANTANDER,908484933.76,Ouro
BRADESCO - PRUDENCIAL,799461594.28,Ouro
ITAU,576747210.66,Ouro
BB,535653322.29,Ouro
CAIXA ECONÔMICA FEDERAL,506037227.17,Ouro
BTG PACTUAL,365228090.0,Ouro
NUBANK,361336089.04,Ouro
INTER,220969784.4,Ouro
VOTORANTIM,132253763.76,Ouro
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL,131312538.69,Ouro
ITAU - PRUDENCIAL,84448177.42999999,Prata
BMG,67501409.65,Prata
C6 BANK,50506492.14,Prata
SANTANDER - PRUDENCIAL,29508322.67,Prata
BANRISUL,24025061.8,Prata
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL,18073450.94,Prata
BCO TRIANGULO S.A.,8566653.65,Prata
BRB,5328452.25,Prata
BANCO C6 - PRUDENCIAL,3307902.47,Prata
BANCO SICOOB,3029995.2,Prata
BCO DO NORDESTE DO BRASIL S.A.,2654185.98,Prata
VOTORANTIM - PRUDENCIAL,2448899.72,Prata
BB - PRUDENCIAL,2378947.93,Prata
BCO DO EST. DE SE S.A.,1404229.46,Prata
BCO DO EST. DO PA S.A.,925025.75,Bronze
NU PAGAMENTOS - PRUDENCIAL,707346.3,Bronze
BANRISUL - PRUDENCIAL,619154.18,Bronze
CCLA DO CENTRO SUL RONDONIENSE,289538.62,Bronze
CCLA MAXI ALFA,239104.65,Bronze
SICOOB CREDISUL,178243.24,Bronze
BTG PACTUAL - PRUDENCIAL,125123.68,Bronze
SICOOB AMAZÔNIA,107764.99,Bronze
SOC CC SICOOB COOPERE,63110.15,Bronze
CC INV DE RONDÔNIA - SICOOB CREDJURD,40667.04,Bronze
C.C. DO CENTRO DO ESTADO DE RONDÔNIA,39890.51,Bronze
CCLA NORTE DE MATO GROSSO - SICOOB NORTE MT,38850.94,Bronze
CC SICOOB VALE SUL,38833.35,Bronze
INTER - PRUDENCIAL,36807.0,Bronze
CCLA UNIÃO CENTRO OESTE MINAS,36509.02,Bronze
CC LITORÂNEA,34173.74,Bronze
COOP CENTRO NORTE BRASILEIRO,25649.53,Bronze
CCLA SICOOB VALCREDI SUL,22397.35,Bronze
CCLA MARGEM ESQUERDA DO URUCUI,20136.620000000003,Bronze
CC SICOOB CREDICONQUISTA,18187.91,Bronze
CC DISTRITO FEDERAL E ENTORNO,18004.18,Bronze
CCLA SICOOB CREDIJUSTRA,17868.09,Bronze
CCLA SICOOB ARENITO PARANÁ / SÃO PAULO,16827.149999999998,Bronze
CCLAA ITAIPU SICOOB CREDITAIPU,14574.56,Bronze
COOP NOVOS CAMPOS,13404.73,Bronze
BCO CSF S.A.,13275.509999999998,Bronze
CC UNIÃO DO CENTRO OESTE DE MINAS,13274.199999999999,Bronze
CCLA REG. CTR. E OESTE MINEIRO,12303.08,Bronze
CC SICOOB COOPEMAR,11626.02,Bronze
CC SICOOB CRED EXECUTIVO,10483.82,Bronze
BMG - PRUDENCIAL,8562.79,Bronze
CCLA CENTRO-SUL GOIANO,8401.58,Bronze
CC SICOOB COOPEC LTDA.,8306.38,Bronze
CCLA DO VALE,8305.96,Bronze
COOP SICOOB EXECUTIVO LTDA.,7104.67,Bronze
CC CREDINACIONAL LTDA - SICOOB CREDINACIONAL,6789.9800000000005,Bronze
CC INVESTIMENTO SICOOB CENTRO,5594.719999999999,Bronze
CC SICOOB NORTE SUL,4967.49,Bronze
CECM DOS PROFISSIONAIS DA SAUDE DA REG ALTA MOGIANA,4722.65,Bronze
SICOOB VALE DOS PINHAIS,4703.53,Bronze
SICOOB EMPRESARIAL,4546.68,Bronze
BANCOOB - PRUDENCIAL,3419.27,Bronze
CC CREDIESMERALDAS LTDA.,3229.41,Bronze
BANCO SICOOB - PRUDENCIAL,3031.99,Bronze
CC CREDIARA LTDA.,2444.85,Bronze
CCLA DE RORAIMA LTDA.,1996.19,Bronze
CCLA MARTINHO CAMPOS,1454.12,Bronze
CC SICOOB CREDCOOP,1108.96,Bronze
CECM EMPR EST HOSP BH RM ZM,980.45,Bronze
CECM EMP USAGRO,782.17,Bronze
CCLAA SICOOB MAXICRÉDITO,666.6600000000001,Bronze
