NOME_CONGLOMERADO_FINANCEIRO,volume_total
BRADESCO,1859621530.47
SANTANDER,908484933.76
BRADESCO - PRUDENCIAL,799461594.28
ITAU,576747210.66
BB,535653322.29
CAIXA ECONÔMICA FEDERAL,506037227.17
BTG PACTUAL,365228090.0
NUBANK,361336089.04
INTER,220969784.4
VOTORANTIM,132253763.76
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL,131312538.69
ITAU - PRUDENCIAL,84448177.42999999
BMG,67501409.65
C6 BANK,50506492.14
SANTANDER - PRUDENCIAL,29508322.67
BANRISUL,24025061.8
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL,18073450.94
BCO TRIANGULO S.A.,8566653.65
BRB,5328452.25
BANCO C6 - PRUDENCIAL,3307902.47
BANCO SICOOB,3029995.2
BCO DO NORDESTE DO BRASIL S.A.,2654185.98
VOTORANTIM - PRUDENCIAL,2448899.72
BB - PRUDENCIAL,2378947.93
BCO DO EST. DE SE S.A.,1404229.46
BCO DO EST. DO PA S.A.,925025.75
NU PAGAMENTOS - PRUDENCIAL,707346.3
BANRISUL - PRUDENCIAL,619154.18
CCLA DO CENTRO SUL RONDONIENSE,289538.62
CCLA MAXI ALFA,239104.65
SICOOB CREDISUL,178243.24
BTG PACTUAL - PRUDENCIAL,125123.68
SICOOB AMAZÔNIA,107764.99
SOC CC SICOOB COOPERE,63110.15
CC INV DE RONDÔNIA - SICOOB CREDJURD,40667.04
C.C. DO CENTRO DO ESTADO DE RONDÔNIA,39890.51
CCLA NORTE DE MATO GROSSO - SICOOB NORTE MT,38850.94
CC SICOOB VALE SUL,38833.35
INTER - PRUDENCIAL,36807.0
CCLA UNIÃO CENTRO OESTE MINAS,36509.02
CC LITORÂNEA,34173.74
COOP CENTRO NORTE BRASILEIRO,25649.53
CCLA SICOOB VALCREDI SUL,22397.35
CCLA MARGEM ESQUERDA DO URUCUI,20136.620000000003
CC SICOOB CREDICONQUISTA,18187.91
CC DISTRITO FEDERAL E ENTORNO,18004.18
CCLA SICOOB CREDIJUSTRA,17868.09
CCLA SICOOB ARENITO PARANÁ / SÃO PAULO,16827.149999999998
CCLAA ITAIPU SICOOB CREDITAIPU,14574.56
COOP NOVOS CAMPOS,13404.73
BCO CSF S.A.,13275.509999999998
CC UNIÃO DO CENTRO OESTE DE MINAS,13274.199999999999
CCLA REG. CTR. E OESTE MINEIRO,12303.08
CC SICOOB COOPEMAR,11626.02
CC SICOOB CRED EXECUTIVO,10483.82
BMG - PRUDENCIAL,8562.79
CCLA CENTRO-SUL GOIANO,8401.58
CC SICOOB COOPEC LTDA.,8306.38
CCLA DO VALE,8305.96
COOP SICOOB EXECUTIVO LTDA.,7104.67
CC CREDINACIONAL LTDA - SICOOB CREDINACIONAL,6789.9800000000005
CC INVESTIMENTO SICOOB CENTRO,5594.719999999999
CC SICOOB NORTE SUL,4967.49
CECM DOS PROFISSIONAIS DA SAUDE DA REG ALTA MOGIANA,4722.65
SICOOB VALE DOS PINHAIS,4703.53
SICOOB EMPRESARIAL,4546.68
BANCOOB - PRUDENCIAL,3419.27
CC CREDIESMERALDAS LTDA.,3229.41
BANCO SICOOB - PRUDENCIAL,3031.99
CC CREDIARA LTDA.,2444.85
CCLA DE RORAIMA LTDA.,1996.19
CCLA MARTINHO CAMPOS,1454.12
CC SICOOB CREDCOOP,1108.96
CECM EMPR EST HOSP BH RM ZM,980.45
CECM EMP USAGRO,782.17
CCLAA SICOOB MAXICRÉDITO,666.6600000000001
